# EMerald Generated Color Map Export File for /Users/bbloss/EMeraldCodes/disco-tif/example_data/E020N40/E020N40.tif
INTERPOLATION:INTERPOLATED
2066,228,180,234,255,2066
2076,231,182,238,255,2076
2086,233,184,242,255,2086
2096,236,186,246,255,2096
2106,238,188,250,255,2106
2117,240,190,254,255,2117
2127,241,192,254,255,2127
2137,241,193,254,255,2137
2147,241,195,254,255,2147
2157,242,196,254,255,2157
2167,242,198,254,255,2167
2177,242,199,254,255,2177
2187,243,200,254,255,2187
2197,243,202,254,255,2197
2207,243,203,254,255,2207
2217,244,205,254,255,2217
2227,244,206,254,255,2227
2237,244,207,254,255,2237
2247,245,209,254,255,2247
2258,245,210,253,255,2258
2268,245,212,253,255,2268
2278,246,213,253,255,2278
2288,246,214,253,255,2288
2298,246,216,253,255,2298
2308,247,217,253,255,2308
2318,247,219,253,255,2318
2328,247,220,253,255,2328
2338,248,221,253,255,2338
2348,248,223,253,255,2348
2358,248,224,253,255,2358
2368,249,226,253,255,2368
2378,249,227,253,255,2378
2388,249,228,253,255,2388
2399,250,230,252,255,2399
2409,250,231,252,255,2409
2419,250,233,252,255,2419
2429,251,234,252,255,2429
2439,251,235,252,255,2439
2449,251,237,252,255,2449
2459,252,238,252,255,2459
2469,252,240,252,255,2469
2479,252,241,252,255,2479
2489,253,242,252,255,2489
2499,253,244,252,255,2499
2509,253,245,252,255,2509
2519,254,247,252,255,2519
2529,254,248,252,255,2529
2540,255,249,251,255,2540
